batch_size,data_set,epochs,id,labels_number,log_interval,lr,lr_decay_epoch,max_set_new_size_test,max_set_new_size_train,momentum,new_sets_number_test,new_sets_number_train,no_cuda,random_sample,result_file,results_averaging_window,seed,set_size_range_test,set_size_range_train,test_accuracy,test_batch_size,test_set_size,time,train_accuracy,train_loss,train_set_size
512,mnist,100,<built-in function id>,2,10,0.1,20,100,10,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,104,"[100, 100]","[100, 100]",0.64434,1000,1000,3382.86549401283,0.55103,-0.541718786298219,60
512,mnist,100,<built-in function id>,2,10,0.1,20,100,10,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,103,"[100, 100]","[100, 100]",0.62193,1000,1000,3419.13329100609,0.537433,-0.527729565864902,60
512,mnist,100,<built-in function id>,2,10,0.1,20,100,50,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,104,"[100, 100]","[100, 100]",0.89638,1000,1000,6881.05517506599,0.887861,-0.877865263920719,60
512,mnist,100,<built-in function id>,2,10,0.1,20,100,50,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,103,"[100, 100]","[100, 100]",0.82288,1000,1000,6915.69566893578,0.820336,-0.812026624558336,60
512,mnist,100,<built-in function id>,2,10,0.1,20,100,100,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,103,"[100, 100]","[100, 100]",0.81441,1000,1000,10758.8166120052,0.841335,-0.83450384902752,60
512,mnist,100,<built-in function id>,2,10,0.1,20,100,100,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,104,"[100, 100]","[100, 100]",0.90052,1000,1000,10049.1702389717,0.921256,-0.912467696353541,60
512,mnist,100,<built-in function id>,2,10,0.1,20,1000,100,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,103,"[1000, 1000]","[1000, 1000]",0.84523,1000,1000,14983.66751194,0.843294,-0.836246372380499,60
512,mnist,100,<built-in function id>,2,10,0.1,20,1000,100,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,104,"[1000, 1000]","[1000, 1000]",0.92929,1000,1000,13033.3820757866,0.919144,-0.910154483126382,60
512,mnist,100,<built-in function id>,2,10,0.1,20,1000,500,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,103,"[1000, 1000]","[1000, 1000]",0.84981,1000,1000,34156.7001850605,0.865539,-0.859936129996332,60
512,mnist,100,<built-in function id>,2,10,0.1,20,1000,500,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,104,"[1000, 1000]","[1000, 1000]",0.91988,1000,1000,29052.2432091236,0.947297,-0.940423022842003,60
512,mnist,100,<built-in function id>,2,10,0.1,20,1000,1000,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,103,"[1000, 1000]","[1000, 1000]",0.84122,1000,1000,46162.6337530613,0.867243,-0.861440212191162,60
512,mnist,100,<built-in function id>,2,10,0.1,20,1000,1000,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,104,"[1000, 1000]","[1000, 1000]",0.93401,1000,1000,40233.0180380344,0.95465,-0.948282090031494,60
512,mnist,100,<built-in function id>,2,10,0.1,20,100,50,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,106,"[100, 100]","[100, 100]",0.78823,1000,1000,63756.9543089867,0.80531484,-0.795867476928032,60
512,mnist,100,<built-in function id>,2,10,0.1,20,100,50,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,109,"[100, 100]","[100, 100]",0.89961,1000,1000,63822.3240771294,0.88873816,-0.878063750570103,60
512,mnist,100,<built-in function id>,2,10,0.1,20,100,10,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,109,"[100, 100]","[100, 100]",0.70552,1000,1000,64055.3054389954,0.58140004,-0.572110141207606,60
