,batch_size,data_set,epochs,id,labels_number,log_interval,lr,lr_decay_epoch,max_set_new_size_test,max_set_new_size_train,momentum,new_sets_number_test,new_sets_number_train,no_cuda,random_sample,result_file,seed,set_size_range,test_accuracy,test_batch_size,test_set_size,time,train_accuracy,train_loss,train_set_size
0,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
1,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
2,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
3,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
4,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
5,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
6,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
7,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
8,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
9,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
10,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
11,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
12,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
13,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
14,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
15,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
16,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
17,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
18,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
19,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
20,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
21,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
22,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
23,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
